Transaction_date,Product,Price,Payment_Type,Name,City,State,Country,Account_Created,Last_Login
1/2/2009 6:17,Product1,1200,Mastercard,carolina,Basildon,England,United Kingdom,1/2/2009 6:00,1/2/2009 6:08
1/2/2009 4:53,Product1,1200,Visa,Betina,Parkville                   ,MO,United States,1/2/2009 4:42,1/2/2009 7:49
1/2/2009 13:08,Product1,1200,Mastercard,Federica e Andrea,Astoria                     ,OR,United States,1/1/2009 16:21,1/3/2009 12:32
1/3/2009 14:44,Product1,1200,Visa,Gouya,Echuca,Victoria,Australia,9/25/2005 21:13,1/3/2009 14:22
1/4/2009 12:56,Product2,3600,Visa,Gerd W ,Cahaba Heights              ,AL,United States,11/15/2008 15:47,1/4/2009 12:45
1/4/2009 13:19,Product1,1200,Visa,LAURENCE,Mickleton                   ,NJ,United States,9/24/2008 15:19,1/4/2009 13:04
1/4/2009 20:11,Product1,1200,Mastercard,Fleur,Peoria                      ,IL,United States,1/3/2009 9:38,1/4/2009 19:45
1/2/2009 20:09,Product1,1200,Mastercard,adam,Martin                      ,TN,United States,1/2/2009 17:43,1/4/2009 20:01
1/4/2009 13:17,Product1,1200,Mastercard,Renee Elisabeth,Tel Aviv,Tel Aviv,Israel,1/4/2009 13:03,1/4/2009 22:10
1/4/2009 14:11,Product1,1200,Visa,Aidan,Chatou,Ile-de-France,France,6/3/2008 4:22,1/5/2009 1:17
1/5/2009 2:42,Product1,1200,Diners,Stacy,New York                    ,NY,United States,1/5/2009 2:23,1/5/2009 4:59
1/5/2009 5:39,Product1,1200,Amex,Heidi,Eindhoven,Noord-Brabant,Netherlands,1/5/2009 4:55,1/5/2009 8:15
1/2/2009 9:16,Product1,1200,Mastercard,Sean ,Shavano Park                ,TX,United States,1/2/2009 8:32,1/5/2009 9:05
1/5/2009 10:08,Product1,1200,Visa,Georgia,Eagle                       ,ID,United States,11/11/2008 15:53,1/5/2009 10:05
1/2/2009 14:18,Product1,1200,Visa,Richard,Riverside                   ,NJ,United States,12/9/2008 12:07,1/5/2009 11:01
1/4/2009 1:05,Product1,1200,Diners,Leanne,Julianstown,Meath,Ireland,1/4/2009 0:00,1/5/2009 13:36
1/5/2009 11:37,Product1,1200,Visa,Janet,Ottawa,Ontario,Canada,1/5/2009 9:35,1/5/2009 19:24
1/6/2009 5:02,Product1,1200,Diners,barbara,Hyderabad,Andhra Pradesh,India,1/6/2009 2:41,1/6/2009 7:52
